CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.460938 1554307670.3659
MEM 14.441406 1554307670.4659
MEM 23.078125 1554307670.5660
MEM 30.277344 1554307670.6660
MEM 36.882812 1554307670.7660
MEM 46.160156 1554307670.8660
MEM 57.160156 1554307670.9660
MEM 63.722656 1554307671.0661
MEM 74.378906 1554307671.1661
MEM 81.570312 1554307671.2661
MEM 89.734375 1554307671.3661
MEM 95.582031 1554307671.4662
MEM 104.933594 1554307671.5662
MEM 110.460938 1554307671.6662
MEM 117.535156 1554307671.7662
MEM 118.761719 1554307671.8662
MEM 118.835938 1554307671.9663
MEM 119.195312 1554307672.0663
MEM 126.343750 1554307672.1663
MEM 126.921875 1554307672.2663
MEM 127.441406 1554307672.3663
MEM 128.933594 1554307672.4664
MEM 133.253906 1554307672.5664
MEM 137.859375 1554307672.6664
MEM 139.546875 1554307672.7664
MEM 140.398438 1554307672.8665
MEM 140.570312 1554307672.9665
MEM 140.570312 1554307673.0665
MEM 140.570312 1554307673.1665
MEM 140.570312 1554307673.2666
MEM 140.570312 1554307673.3666
MEM 140.570312 1554307673.4666
MEM 140.570312 1554307673.5666
MEM 140.570312 1554307673.6666
MEM 140.570312 1554307673.7667
MEM 140.570312 1554307673.8667
MEM 140.570312 1554307673.9667
MEM 140.570312 1554307674.0667
MEM 140.570312 1554307674.1668
MEM 140.570312 1554307674.2668
MEM 140.570312 1554307674.3668
MEM 140.570312 1554307674.4668
MEM 140.570312 1554307674.5668
MEM 140.570312 1554307674.6669
MEM 140.570312 1554307674.7669
MEM 140.570312 1554307674.8669
MEM 140.570312 1554307674.9669
MEM 140.570312 1554307675.0670
MEM 140.570312 1554307675.1670
MEM 140.570312 1554307675.2670
MEM 140.570312 1554307675.3670
MEM 140.570312 1554307675.4671
MEM 140.570312 1554307675.5671
MEM 140.570312 1554307675.6671
MEM 140.570312 1554307675.7671
MEM 140.570312 1554307675.8671
MEM 140.570312 1554307675.9672
MEM 140.570312 1554307676.0672
MEM 140.570312 1554307676.1672
